Jul 20 20:43:31 <Prakhar>	kushal: bye
Jul 20 20:43:42 *	Prakhar (n=prakhar@122.163.71.100) has left #dgplug ("Konversation terminated!")
Jul 20 20:44:59 *	Kkhushi_ has quit (Read error: 110 (Connection timed out))
Jul 20 20:45:46 *	Kkhushi_ (n=khushbu@59.180.136.201) has joined #dgplug
Jul 20 20:46:10 <ria>	kushal, http://aspn.activestate.com/ASPN/Cookbook/Python/Recipe/224800
Jul 20 20:46:16 *	Kkhushi has quit (Nick collision from services.)
Jul 20 20:46:21 <ria>	kushal, see this is the program :)
Jul 20 20:46:24 *	Kkhushi_ is now known as Kkhushi
Jul 20 20:46:29 <ria>	i am trying to understand it
Jul 20 20:46:36 <kushal>	ria, I asked you all to solve it 
Jul 20 20:46:47 <ria>	kushal, i know
Jul 20 20:47:00 <ria>	kushal, was just trying to get an idea
Jul 20 20:47:08 <kushal>	ok
Jul 20 20:47:15 <ria>	i just read http://docs.python.org/lib/bltin-file-objects.html now
Jul 20 20:47:15 <kushal>	no problem on that 
Jul 20 20:47:21 <ria>	which you earlier
Jul 20 20:47:32 <ria>	*you gave
Jul 20 20:47:36 <kushal>	ria, no need to tell everything you are doing 
Jul 20 20:47:48 <ria>	kushal, sorry
Jul 20 20:49:49 <kushal>	People don't forget to mail me details I asked 
Jul 20 20:50:07 <arpita>	kushal, a six letter password and what else?
Jul 20 20:50:55 <kushal>	arpita, username if you want 
Jul 20 20:51:18 <kushal>	arpita, I will put your names as user names 
Jul 20 20:51:20 <arpita>	kushal, where will this be used?
Jul 20 20:51:24 <kushal>	arpita, svn 
Jul 20 20:51:45 <arpita>	kushal, what is that??
Jul 20 20:51:50 <kushal>	arpita, google 
Jul 20 20:51:59 <kushal>	<--SESSION STOPPED-->
